,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
18,IGF123511,BBN006-30165-MTEMP,S757,MTEMP,,,BBN006-30165-MTEMP,BBN006_30165
19,IGF123512,S18-123-ITG,S783,ITG,,,S18-123-ITG,S18_123
20,IGF123513,S15-033-ITG,S722,ITG,,,S15-033-ITG,S15_033
21,IGF123514,BBN001-35182-FC,S710,PFC,,,BBN001-35182-FC,BBN001_35182
22,IGF123515,BBN006-30889-MTEMP,S770,MTEMP,,,BBN006-30889-MTEMP,BBN006_30889
23,IGF123516,BBN-9980-FC,S734,PFC,,,BBN-9980-FC,BBN_9980
24,IGF123517,BBN002-26278-FC,S763,PFC,,,BBN002-26278-FC,BBN002_26278
25,IGF123518,BBN-18407-FC,S797,PFC,,,BBN-18407-FC,BBN_18407
26,IGF123519,BBN006-36107-MTEMP,S735,MTEMP,,,BBN006-36107-MTEMP,BBN006_36107
27,IGF123520,BBN006-35417-MTEMP,S727,MTEMP,,,BBN006-35417-MTEMP,BBN006_35417
28,IGF123521,BBN006-36102-FC,S742,PFC,,,BBN006-36102-FC,BBN006_36102
29,IGF123522,BBN006-35513-FC,S795,PFC,,,BBN006-35513-FC,BBN006_35513
30,IGF123523,S17-005-ITG,S749,ITG,,,S17-005-ITG,S17_005
31,IGF123524,BBN006-35417-FC,S773,PFC,,,BBN006-35417-FC,BBN006_35417
32,IGF123525,BBN-24243-MTEMP,S769,MTEMP,,,BBN-24243-MTEMP,BBN_24243
33,IGF123526,BBN006-36107-FC,S752,PFC,,,BBN006-36107-FC,BBN006_36107
34,IGF123527,BBN006-30889-FC,S704,PFC,,,BBN006-30889-FC,BBN006_30889
35,IGF123528,BBN001-30883-FC,S715,PFC,,,BBN001-30883-FC,BBN001_30883
36,IGF123529,BBN002-26278-MTEMP,S753,MTEMP,,,BBN002-26278-MTEMP,BBN002_26278
37,IGF123530,BBN006-35560-FC,S758,PFC,,,BBN006-35560-FC,BBN006_35560
38,IGF123531,S18-112-ITG,S784,ITG,,,S18-112-ITG,S18_112
39,IGF123532,BBN-20593-FC,S714,PFC,,,BBN-20593-FC,BBN_20593
40,IGF123533,BBN006-34151-MTEMP,S771,MTEMP,,,BBN006-34151-MTEMP,BBN006_34151
41,IGF123534,BBN002-32628-FC,S779,PFC,,,BBN002-32628-FC,BBN002_32628
42,IGF123535,BBN006-34151-FC,S788,PFC,,,BBN006-34151-FC,BBN006_34151
43,IGF123536,BBN002-35951-MTEMP,S739,MTEMP,,,BBN002-35951-MTEMP,BBN002_35951
44,IGF123537,S18-030-ITG,S737,ITG,,,S18-030-ITG,S18_030
45,IGF123538,BBN006-36170-FC,S728,PFC,,,BBN006-36170-FC,BBN006_36170
46,IGF123539,BBN-20121-FC,S780,PFC,,,BBN-20121-FC,BBN_20121
47,IGF123540,BBN-2564-FC,S761,PFC,,,BBN-2564-FC,BBN_2564
48,IGF123541,BBN002-36130-MTEMP,S712,MTEMP,,,BBN002-36130-MTEMP,BBN002_36130
49,IGF123542,BBN-24243-FC,S786,PFC,,,BBN-24243-FC,BBN_24243
50,IGF123543,BBN006-35453-MTEMP,S743,MTEMP,,,BBN006-35453-MTEMP,BBN006_35453
51,IGF123544,BBN006-30165-FC,S775,PFC,,,BBN006-30165-FC,BBN006_30165
52,IGF123545,BBN-20618-FC,S750,PFC,,,BBN-20618-FC,BBN_20618
53,IGF123546,BBN006-35513-MTEMP,S706,MTEMP,,,BBN006-35513-MTEMP,BBN006_35513
54,IGF123547,BBN002-32844-MTEMP,S724,MTEMP,,,BBN002-32844-MTEMP,BBN002_32844
55,IGF123548,BBN002-30840-FC,S790,PFC,,,BBN002-30840-FC,BBN002_30840
56,IGF123549,BBN002-28858-MTEMP,S791,MTEMP,,,BBN002-28858-MTEMP,BBN002_28858
57,IGF123550,S15-027-ITG,S726,ITG,,,S15-027-ITG,S15_027
58,IGF123551,BBN006-35453-FC,S767,PFC,,,BBN006-35453-FC,BBN006_35453
59,IGF123552,BBN006-35560-MTEMP,S738,MTEMP,,,BBN006-35560-MTEMP,BBN006_35560
60,IGF123553,BBN002-30840-MTEMP,S766,MTEMP,,,BBN002-30840-MTEMP,BBN002_30840
61,IGF123554,BBN006-36170-MTEMP,S711,MTEMP,,,BBN006-36170-MTEMP,BBN006_36170
62,IGF123555,S18-105-ITG,S759,ITG,,,S18-105-ITG,S18_105
63,IGF123556,S15-074-ITG,S721,ITG,,,S15-074-ITG,S15_074
64,IGF123557,BBN-2414-T5,S723,,,,BBN-2414-T5,BBN_2414_T5
65,IGF123558,BBN-2569-IF-,S707,,,,BBN-2569-IF-,BBN_2569_IF
66,IGF123559,PDC165-CLC5,S745,,,,PDC165-CLC5,PDC165_CLC5
0,IGF124732,BBN-21005-MTG,SI-TT-A11,MTG,RNAseq,,BBN-21005-MTG,BBN_21005
1,IGF124733,BBN-18399-MTG,SI-TT-B4,MTG,RNAseq,,BBN-18399-MTG,BBN_18399
2,IGF124734,BBN002-30035-MTG,SI-TT-B5,MTG,RNAseq,,BBN002-30035-MTG,BBN002_30035
3,IGF124735,BBN-16213-MTG,SI-TT-A10,MTG,RNAseq,,BBN-16213-MTG,BBN_16213
4,IGF124736,BBN002-29089-MTG,SI-TT-B6,MTG,RNAseq,,BBN002-29089-MTG,BBN002_29089
5,IGF124737,BBN002-29170-MTG,SI-TT-B11,MTG,RNAseq,,BBN002-29170-MTG,BBN002_29170
0,IGF124738,BBN-21005-MTGa_1,SI-NA-A9,MTG,ATACseq,,BBN-21005-MTGa_1,BBN_21005a
4,IGF124739,BBN-18399-MTGa_1,SI-NA-B1,MTG,ATACseq,,BBN-18399-MTGa_1,BBN_18399a
8,IGF124740,BBN002-30035-MTGa_1,SI-NA-B3,MTG,ATACseq,,BBN002-30035-MTGa_1,BBN002_30035a
12,IGF124741,BBN-16213-MTGa_1,SI-NA-A8,MTG,ATACseq,,BBN-16213-MTGa_1,BBN_16213a
16,IGF124742,BBN002-29089-MTGa_1,SI-NA-B2,MTG,ATACseq,,BBN002-29089-MTGa_1,BBN002_29089a
20,IGF124743,BBN002-29170-MTGa_1,SI-NA-B4,MTG,ATACseq,,BBN002-29170-MTGa_1,BBN002_29170a
0,IGF122081,20185945-SSC,S762,SSC,,,20185945-SSC,20185945
1,IGF122082,20152915-SSC,S713,SSC,,,20152915-SSC,20152915
2,IGF122083,19960052-SSC,S736,SSC,,,19960052-SSC,19960052
3,IGF122084,P7-09-MTG,S709,MTG,,,P7-09-MTG,P7_09
4,IGF122085,19950136-EC,S732,EC,,,19950136-EC,19950136
5,IGF122086,A138-12-EC,S774,EC,,,A138-12-EC,A138_12
6,IGF122087,20131157-SSC,S747,SSC,,,20131157-SSC,20131157
7,IGF122088,20130871-SSC,S794,SSC,,,20130871-SSC,20130871
8,IGF122089,20030099-EC,S729,EC,,,20030099-EC,20030099
9,IGF122090,20060093-EC,S777,EC,,,20060093-EC,20060093
10,IGF122091,20196919-EC,S772,EC,,,20196919-EC,20196919
11,IGF122092,20060099-SSC,S725,SSC,,,20060099-SSC,20060099
12,IGF122093,DPM13-19-EC,S755,EC,,,DPM13-19-EC,DPM13_19
13,IGF122094,19980098-EC,S760,EC,,,19980098-EC,19980098
14,IGF122095,NP08-166-MTG,S716,MTG,,,NP08-166-MTG,NP08_166
15,IGF122096,19930148-EC,S708,EC,,,19930148-EC,19930148
16,IGF122097,SD030-07-MTG,S702,MTG,,,SD030-07-MTG,SD030_07
