synapse_file_id  filename
syn53122955  BBN_13802_MTG_S2_L001_R2_001.fastq.gz
syn53122782  BBN_13802_SSC_S1_L001_R1_001.fastq.gz
syn53122950  BBN_13802_SSC_S1_L001_R2_001.fastq.gz
syn53122792  BBN_13802_SSC_S2_L001_R1_001.fastq.gz
syn53122957  BBN_13802_SSC_S2_L001_R2_001.fastq.gz
syn53009266  BBN_14157_EC_S1_L001_R1_001.fastq.gz
syn53016771  BBN_14157_EC_S1_L001_R2_001.fastq.gz
syn53009268  BBN_14157_SSC_S1_L001_R1_001.fastq.gz
syn53016773  BBN_14157_SSC_S1_L001_R2_001.fastq.gz
syn53009009  BBN_14795_EC_S1_L001_R1_001.fastq.gz
syn53009897  BBN_14795_EC_S1_L001_R2_001.fastq.gz
syn53056216  BBN_14795_MTG_S1_L001_R1_001.fastq.gz
syn53056563  BBN_14795_MTG_S1_L001_R2_001.fastq.gz
syn53055542  BBN_14795_SSC_S1_L001_R1_001.fastq.gz
syn53058201  BBN_14795_SSC_S1_L001_R2_001.fastq.gz
syn53009021  BBN_14801_EC_S1_L001_R1_001.fastq.gz
syn53009903  BBN_14801_EC_S1_L001_R2_001.fastq.gz
syn53009022  BBN_14801_SSC_S1_L001_R1_001.fastq.gz
syn53009899  BBN_14801_SSC_S1_L001_R2_001.fastq.gz
syn53009055  BBN_15196_EC_S1_L001_R1_001.fastq.gz
syn53009982  BBN_15196_EC_S1_L001_R2_001.fastq.gz
syn53009056  BBN_15196_SSC_S1_L001_R1_001.fastq.gz
syn53009981  BBN_15196_SSC_S1_L001_R2_001.fastq.gz
syn53009216  BBN_15201_EC_S1_L001_R1_001.fastq.gz
syn53009999  BBN_15201_EC_S1_L001_R2_001.fastq.gz
syn53055565  BBN_15201_MTG_S1_L001_R1_001.fastq.gz
syn53058144  BBN_15201_MTG_S1_L001_R2_001.fastq.gz
syn53056255  BBN_15201_SSC_S1_L001_R1_001.fastq.gz
syn53056637  BBN_15201_SSC_S1_L001_R2_001.fastq.gz
syn53009260  BBN_15304_EC_S1_L001_R1_001.fastq.gz
syn53016752  BBN_15304_EC_S1_L001_R2_001.fastq.gz
syn53009265  BBN_15304_SSC_S1_L001_R1_001.fastq.gz
syn53016755  BBN_15304_SSC_S1_L001_R2_001.fastq.gz
syn53009262  BBN_16213_EC_S1_L001_R1_001.fastq.gz
syn53010016  BBN_16213_EC_S1_L001_R2_001.fastq.gz
syn53122720  BBN_16213_MTG_S1_L001_R1_001.fastq.gz
syn53122898  BBN_16213_MTG_S1_L001_R2_001.fastq.gz
syn53122728  BBN_16213_MTG_S2_L001_R1_001.fastq.gz
syn53122906  BBN_16213_MTG_S2_L001_R2_001.fastq.gz
syn53122725  BBN_16213_SSC_S1_L001_R1_001.fastq.gz
syn53122900  BBN_16213_SSC_S1_L001_R2_001.fastq.gz
syn53122729  BBN_16213_SSC_S2_L001_R1_001.fastq.gz
syn53129546  BBN_16213_SSC_S2_L001_R2_001.fastq.gz
syn52943625  BBN_18399_EC_S1_L001_R1_001.fastq.gz
syn52943632  BBN_18399_EC_S1_L001_R2_001.fastq.gz
syn53122702  BBN_18399_MTG_S1_L001_R1_001.fastq.gz
syn53122878  BBN_18399_MTG_S1_L001_R2_001.fastq.gz
syn53122704  BBN_18399_MTG_S2_L001_R1_001.fastq.gz
syn53122882  BBN_18399_MTG_S2_L001_R2_001.fastq.gz
syn53122698  BBN_18399_SSC_S1_L001_R1_001.fastq.gz
syn53122874  BBN_18399_SSC_S1_L001_R2_001.fastq.gz
syn53122705  BBN_18399_SSC_S2_L001_R1_001.fastq.gz
syn53122884  BBN_18399_SSC_S2_L001_R2_001.fastq.gz
syn53009273  BBN_18791_EC_S1_L001_R1_001.fastq.gz
syn53016776  BBN_18791_EC_S1_L001_R2_001.fastq.gz
syn53009267  BBN_18791_SSC_S1_L001_R1_001.fastq.gz
syn53016778  BBN_18791_SSC_S1_L001_R2_001.fastq.gz
syn53009251  BBN_18813_EC_S1_L001_R1_001.fastq.gz
syn53016727  BBN_18813_EC_S1_L001_R2_001.fastq.gz
syn53122744  BBN_18813_MTG_S1_L001_R1_001.fastq.gz
syn53122919  BBN_18813_MTG_S1_L001_R2_001.fastq.gz
syn53122747  BBN_18813_MTG_S2_L001_R1_001.fastq.gz
syn53122921  BBN_18813_MTG_S2_L001_R2_001.fastq.gz
syn53122742  BBN_18813_SSC_S1_L001_R1_001.fastq.gz
syn53122915  BBN_18813_SSC_S1_L001_R2_001.fastq.gz
syn53122748  BBN_18813_SSC_S2_L001_R1_001.fastq.gz
syn53129551  BBN_18813_SSC_S2_L001_R2_001.fastq.gz
syn53009017  BBN_19191_SSC_S1_L001_R1_001.fastq.gz
syn53009909  BBN_19191_SSC_S1_L001_R2_001.fastq.gz
syn53009018  BBN_19214_EC_S1_L001_R1_001.fastq.gz
syn53009911  BBN_19214_EC_S1_L001_R2_001.fastq.gz
syn53009020  BBN_19214_SSC_S1_L001_R1_001.fastq.gz
syn53009902  BBN_19214_SSC_S1_L001_R2_001.fastq.gz
syn52943623  BBN_21005_EC_S1_L001_R1_001.fastq.gz
syn52943635  BBN_21005_EC_S1_L001_R2_001.fastq.gz
syn53122692  BBN_21005_MTG_S1_L001_R1_001.fastq.gz
syn53122875  BBN_21005_MTG_S1_L001_R2_001.fastq.gz
syn53122699  BBN_21005_MTG_S2_L001_R1_001.fastq.gz
syn53122876  BBN_21005_MTG_S2_L001_R2_001.fastq.gz
syn53122693  BBN_21005_SSC_S1_L001_R1_001.fastq.gz
syn53122870  BBN_21005_SSC_S1_L001_R2_001.fastq.gz
syn53122696  BBN_21005_SSC_S2_L001_R1_001.fastq.gz
syn53129556  BBN_21005_SSC_S2_L001_R2_001.fastq.gz
syn52943619  BBN_21792_EC_S1_L001_R1_001.fastq.gz
syn52943628  BBN_21792_EC_S1_L001_R2_001.fastq.gz
syn53122710  BBN_21792_MTG_S1_L001_R1_001.fastq.gz
syn53122889  BBN_21792_MTG_S1_L001_R2_001.fastq.gz
syn53122714  BBN_21792_MTG_S2_L001_R1_001.fastq.gz
syn53122893  BBN_21792_MTG_S2_L001_R2_001.fastq.gz
